,date,FB,SQ
0,('2021-04-26', '303.04', '255.77')
1,('2021-04-23', '301.13', '246.43')
2,('2021-04-22', '296.52', '245.11')
3,('2021-04-21', '301.47', '245.25')
687,('2021-04-20', '302.65', '245.5')
4,('2021-04-19', '302.24', '245.33')
5,('2021-04-16', '306.18', '256.1')
688,('2021-04-15', '307.82', '263.08')
6,('2021-04-14', '302.82', '258.4')
689,('2021-04-13', '309.76', '273.23')
690,('2021-04-12', '311.54', '265.2')
7,('2021-04-09', '312.46', '261.65')
8,('2021-04-08', '313.02', '258.37')
9,('2021-04-07', '313.09', '245.12')
691,('2021-04-06', '306.26', '236.5')
692,('2021-04-05', '308.91', '229.95')
693,('2021-04-01', '298.66', '229.51')
694,('2021-03-31', '294.53', '227.05')
695,('2021-03-30', '288.0', '212.83')
10,('2021-03-29', '290.82', '207.18')
11,('2021-03-26', '283.02', '213.6')
696,('2021-03-25', '278.74', '208.47')
697,('2021-03-24', '282.14', '213.51')
698,('2021-03-23', '290.63', '223.2')
12,('2021-03-22', '293.54', '226.13')
13,('2021-03-19', '290.11', '224.84')
699,('2021-03-18', '278.62', '224.3')
700,('2021-03-17', '284.01', '246.47')
701,('2021-03-16', '279.28', '243.36')
14,('2021-03-15', '273.75', '251.23')
702,('2021-03-12', '268.4', '242.11')
15,('2021-03-11', '273.88', '241.72')
703,('2021-03-10', '264.9', '226.73')
704,('2021-03-09', '265.74', '225.09')
705,('2021-03-08', '255.31', '201.87')
16,('2021-03-05', '264.28', '216.44')
17,('2021-03-04', '257.64', '218.41')
706,('2021-03-03', '255.41', '234.2')
707,('2021-03-02', '259.0', '252.2')
708,('2021-03-01', '264.91', '241.0')
709,('2021-02-26', '257.62', '230.03')
18,('2021-02-25', '254.69', '227.11')
710,('2021-02-24', '264.31', '237.32')
19,('2021-02-23', '265.855', '256.59')
711,('2021-02-22', '260.33', '268.08')
712,('2021-02-19', '261.56', '276.57')
713,('2021-02-18', '269.39', '270.85')
714,('2021-02-17', '273.57', '270.94')
715,('2021-02-16', '273.97', '276.02')
716,('2021-02-12', '270.5', '272.75')
20,('2021-02-11', '270.39', '265.93')
21,('2021-02-10', '271.87', '257.49')
717,('2021-02-09', '269.45', '258.12')
718,('2021-02-08', '266.58', '259.97')
22,('2021-02-05', '268.1', '240.38')
23,('2021-02-04', '266.49', '237.72')
24,('2021-02-03', '266.65', '227.94')
719,('2021-02-02', '267.08', '227.63')
720,('2021-02-01', '262.01', '221.94')
721,('2021-01-29', '258.33', '215.96')
25,('2021-01-28', '265.0', '219.91')
722,('2021-01-27', '272.14', '202.46')
