,date,Open,High,Low,Close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
0,2021-03-04,28.35,28.35,28.35,28.35,28.35,0.0,0.0,1.0
1,2021-03-03,28.85,28.85,28.85,28.85,28.85,0.0,0.0,1.0
2,2021-03-02,29.71,29.71,29.71,29.71,29.71,0.0,0.0,1.0
3,2021-03-01,30.21,30.21,30.21,30.21,30.21,0.0,0.0,1.0
4,2021-02-26,29.37,29.37,29.37,29.37,29.37,0.0,0.0,1.0
5,2021-02-25,29.18,29.18,29.18,29.18,29.18,0.0,0.0,1.0
6,2021-02-24,30.26,30.26,30.26,30.26,30.26,0.0,0.0,1.0
7,2021-02-23,30.01,30.01,30.01,30.01,30.01,0.0,0.0,1.0
8,2021-02-22,30.08,30.08,30.08,30.08,30.08,0.0,0.0,1.0
9,2021-02-19,30.89,30.89,30.89,30.89,30.89,0.0,0.0,1.0
10,2021-02-18,31.02,31.02,31.02,31.02,31.02,0.0,0.0,1.0
11,2021-02-17,31.16,31.16,31.16,31.16,31.16,0.0,0.0,1.0
12,2021-02-16,31.32,31.32,31.32,31.32,31.32,0.0,0.0,1.0
13,2021-02-12,31.4,31.4,31.4,31.4,31.4,0.0,0.0,1.0
14,2021-02-11,31.24,31.24,31.24,31.24,31.24,0.0,0.0,1.0
15,2021-02-10,31.05,31.05,31.05,31.05,31.05,0.0,0.0,1.0
16,2021-02-09,31.13,31.13,31.13,31.13,31.13,0.0,0.0,1.0
17,2021-02-08,31.14,31.14,31.14,31.14,31.14,0.0,0.0,1.0
18,2021-02-05,30.94,30.94,30.94,30.94,30.94,0.0,0.0,1.0
19,2021-02-04,30.84,30.84,30.84,30.84,30.84,0.0,0.0,1.0
20,2021-02-03,30.47,30.47,30.47,30.47,30.47,0.0,0.0,1.0
21,2021-02-02,30.59,30.59,30.59,30.59,30.59,0.0,0.0,1.0
22,2021-02-01,30.12,30.12,30.12,30.12,30.12,0.0,0.0,1.0
23,2021-01-29,29.39,29.39,29.39,29.39,29.39,0.0,0.0,1.0
24,2021-01-28,30.01,30.01,30.01,30.01,30.01,0.0,0.0,1.0
25,2021-01-27,29.81,29.81,29.81,29.81,29.81,0.0,0.0,1.0
26,2021-01-26,30.67,30.67,30.67,30.67,30.67,0.0,0.0,1.0
27,2021-01-25,30.64,30.64,30.64,30.64,30.64,0.0,0.0,1.0
28,2021-01-22,30.35,30.35,30.35,30.35,30.35,0.0,0.0,1.0
29,2021-01-21,30.42,30.42,30.42,30.42,30.42,0.0,0.0,1.0
30,2021-01-20,30.16,30.16,30.16,30.16,30.16,0.0,0.0,1.0
31,2021-01-19,29.45,29.45,29.45,29.45,29.45,0.0,0.0,1.0
32,2021-01-15,29.01,29.01,29.01,29.01,29.01,0.0,0.0,1.0
33,2021-01-14,29.22,29.22,29.22,29.22,29.22,0.0,0.0,1.0
34,2021-01-13,29.41,29.41,29.41,29.41,29.41,0.0,0.0,1.0
35,2021-01-12,29.22,29.22,29.22,29.22,29.22,0.0,0.0,1.0
36,2021-01-11,29.24,29.24,29.24,29.24,29.24,0.0,0.0,1.0
37,2021-01-08,29.73,29.73,29.73,29.73,29.73,0.0,0.0,1.0
38,2021-01-07,29.35,29.35,29.35,29.35,29.35,0.0,0.0,1.0
39,2021-01-06,28.62,28.62,28.62,28.62,28.62,0.0,0.0,1.0
40,2021-01-05,29.03,29.03,29.03,29.03,29.03,0.0,0.0,1.0
41,2021-01-04,28.79,28.79,28.79,28.79,28.79,0.0,0.0,1.0
42,2020-12-31,29.22,29.22,29.22,29.22,29.22,0.0,0.0611,1.0
43,2020-12-30,29.19,29.19,29.19,29.19,29.1290900957,0.0,0.0,1.0
44,2020-12-29,29.21,29.21,29.21,29.21,29.1490483623,0.0,0.0,1.0
45,2020-12-28,29.2,29.2,29.2,29.2,29.139069229,0.0,0.0,1.0
46,2020-12-24,28.87,28.87,28.87,28.87,28.8097578301,0.0,0.0,1.0
47,2020-12-23,28.74,28.74,28.74,28.74,28.6800290973,0.0,0.0,1.0
48,2020-12-22,28.87,28.87,28.87,28.87,28.8097578301,0.0,0.0,1.0
49,2020-12-21,28.81,28.81,28.81,28.81,28.7498830304,0.0,0.0,1.0
50,2020-12-18,28.92,28.92,28.92,28.92,28.8596534966,0.0,0.0,1.0
51,2020-12-17,28.95,28.95,28.95,28.95,28.8895908965,0.0,0.0,1.0
52,2020-12-16,28.76,28.76,28.76,28.76,28.6999873639,0.0,0.0,1.0
53,2020-12-15,28.59,28.59,28.59,28.59,28.530342097800002,0.0,0.0,1.0
54,2020-12-14,28.29,28.29,28.29,28.29,28.2309680989,0.0,0.0,1.0
55,2020-12-11,28.09,28.09,28.09,28.09,28.0313854329,0.0,0.0,1.0
56,2020-12-10,28.15,28.15,28.15,28.15,28.091260232699998,0.0,0.0,1.0
57,2020-12-09,28.07,28.07,28.07,28.07,28.011427166300003,0.0,0.0,1.0
58,2020-12-08,28.68,28.68,28.68,28.68,28.6201542975,0.0,0.0,1.0
59,2020-12-07,28.6,28.6,28.6,28.6,28.540321231100002,0.0,0.0,1.0
60,2020-12-04,28.44,28.44,28.44,28.44,28.3806550983,0.0,0.0,1.0
61,2020-12-03,28.3,28.3,28.3,28.3,28.240947232199996,0.0,0.0,1.0
62,2020-12-02,28.28,28.28,28.28,28.28,28.2209889656,0.0,0.0,1.0
63,2020-12-01,28.27,28.27,28.27,28.27,28.2110098323,0.0,0.0,1.0
64,2020-11-30,27.85,27.85,27.85,27.85,27.7918862338,0.0,0.267,1.0
65,2020-11-27,28.09,28.09,28.09,28.09,27.7651984318,0.0,0.0,1.0
66,2020-11-25,27.85,27.85,27.85,27.85,27.527973525300002,0.0,0.0,1.0
67,2020-11-24,27.68,27.68,27.68,27.68,27.359939216500003,0.0,0.0,1.0
68,2020-11-23,27.29,27.29,27.29,27.29,26.974448743499998,0.0,0.0,1.0
69,2020-11-20,27.29,27.29,27.29,27.29,26.974448743499998,0.0,0.0,1.0
70,2020-11-19,27.47,27.47,27.47,27.47,27.1523674233,0.0,0.0,1.0
71,2020-11-18,27.26,27.26,27.26,27.26,26.944795630100003,0.0,0.0,1.0
72,2020-11-17,27.44,27.44,27.44,27.44,27.12271431,0.0,0.0,1.0
73,2020-11-16,27.53,27.53,27.53,27.53,27.21167365,0.0,0.0,1.0
74,2020-11-13,27.35,27.35,27.35,27.35,27.033754970100002,0.0,0.0,1.0
75,2020-11-12,27.09,27.09,27.09,27.09,26.7767613214,0.0,0.0,1.0
76,2020-11-11,27.25,27.25,27.25,27.25,26.934911259,0.0,0.0,1.0
77,2020-11-10,26.63,26.63,26.63,26.63,26.3220802506,0.0,0.0,1.0
78,2020-11-09,27.11,27.11,27.11,27.11,26.796530063600002,0.0,0.0,1.0
79,2020-11-06,27.7,27.7,27.7,27.7,27.3797079587,0.0,0.0,1.0
80,2020-11-05,27.66,27.66,27.66,27.66,27.3401704743,0.0,0.0,1.0
81,2020-11-04,26.97,26.97,26.97,26.97,26.6581488681,0.0,0.0,1.0
82,2020-11-03,25.83,25.83,25.83,25.83,25.531330562199997,0.0,0.0,1.0
83,2020-11-02,25.38,25.38,25.38,25.38,25.086533862600003,0.0,0.0,1.0
84,2020-10-30,25.31,25.31,25.31,25.31,25.0173432648,0.0,0.0,1.0
85,2020-10-29,26.0,26.0,26.0,26.0,25.699364871,0.0,0.0,1.0
86,2020-10-28,25.51,25.51,25.51,25.51,25.2150306869,0.0,0.0,1.0
87,2020-10-27,26.56,26.56,26.56,26.56,26.2528896529,0.0,0.0,1.0
88,2020-10-26,26.34,26.34,26.34,26.34,26.035433488600003,0.0,0.0,1.0
89,2020-10-23,26.77,26.77,26.77,26.77,26.460461446,0.0,0.0,1.0
