,date,open,high,low,close,volume
0,2021-04-23,34.54,36.78,34.06,36.0,9269647.0
1,2021-04-22,34.05,35.99,32.66,34.15,13383277.0
2,2021-04-21,30.3,34.0899,29.8201,33.5,13334771.0
3,2021-04-20,31.07,34.38,29.85,30.95,19540898.0
4,2021-04-19,35.21,35.51,31.05,31.62,21532857.0
5,2021-04-16,37.01,37.71,34.55,35.52,23427572.0
6,2021-04-15,36.98,39.37,34.22,35.85,59022473.0
7,2021-04-14,42.97,44.27,40.68,40.85,11130264.0
8,2021-04-13,42.21,43.13,41.61,42.25,7116159.0
9,2021-04-12,44.98,45.44,41.76,41.85,12159844.0
10,2021-04-09,47.41,47.41,44.73,45.77,8224521.0
11,2021-04-08,47.49,48.45,47.24,47.5,4672937.0
12,2021-04-07,49.23,51.5745,47.06,47.39,9305600.0
13,2021-04-06,48.8,51.19,48.19,49.38,8046329.0
14,2021-04-05,50.94,51.2499,48.45,49.37,11590416.0
15,2021-04-01,52.16,53.2,48.42,49.3,25166195.0
16,2021-03-31,45.09,45.8794,44.14,44.75,10263211.0
17,2021-03-30,42.4,44.125,40.52,44.07,10104180.0
18,2021-03-29,44.36,45.3,42.0599,42.4,9827103.0
19,2021-03-26,46.11,47.73,43.0,44.37,11093972.0
20,2021-03-25,42.13,47.1,41.75,45.99,30342368.0
21,2021-03-24,58.0,58.15,47.11,47.83,20109956.0
22,2021-03-23,59.435,60.5,55.73,57.46,17785799.0
23,2021-03-22,59.52,64.8,58.45,64.29,18949551.0
24,2021-03-19,56.75,60.97,55.31,59.34,15660472.0
25,2021-03-18,58.35,59.6,56.2,56.97,8169095.0
26,2021-03-17,56.46,60.72,54.43,59.88,9581756.0
27,2021-03-16,63.63,63.97,55.34,57.03,13027523.0
28,2021-03-15,59.72,65.42,59.2,62.25,13370917.0
29,2021-03-12,55.28,58.5,54.32,58.31,6180373.0
30,2021-03-11,54.13,58.93,52.8,58.2,10172699.0
31,2021-03-10,55.24,56.44,51.5,52.32,7941487.0
32,2021-03-09,49.8,53.78,47.68,53.18,10731819.0
