,date,open,high,low,close,volume
0,2021-04-26,41.272,42.1612,39.55,40.89,19041798.0
1,2021-04-23,34.09,38.91,33.37,38.48,25879715.0
2,2021-04-22,40.58,42.2099,36.37,36.49,27895063.0
3,2021-04-21,36.99,42.07,36.06,41.31,26801740.0
4,2021-04-20,40.54,41.1,35.71,38.56,29240874.0
5,2021-04-19,40.35,43.31,38.71,40.9,28356426.0
6,2021-04-16,45.01,47.56,42.8,44.64,24637468.0
7,2021-04-15,50.87,52.42,43.29,48.11,39017146.0
8,2021-04-14,60.7965,61.55,49.3,50.16,52949234.0
9,2021-04-13,56.44,59.96,52.86,59.26,42774268.0
10,2021-04-12,52.5,55.7869,50.62,51.53,23779382.0
11,2021-04-09,50.48,51.6,47.76,49.63,13678588.0
12,2021-04-08,50.52,51.8899,49.35,49.55,13416224.0
13,2021-04-07,50.522,53.025,47.7,48.37,16833137.0
14,2021-04-06,56.0,56.3599,52.3063,54.1,15194780.0
15,2021-04-05,52.1074,57.85,50.39,56.9,18908717.0
16,2021-04-01,54.75,56.8235,51.12,52.03,15058042.0
17,2021-03-31,50.73,54.58,49.41,53.27,21061700.0
18,2021-03-30,48.83,52.1894,47.42,51.51,18358729.0
19,2021-03-29,51.51,52.75,47.3,47.89,17849768.0
20,2021-03-26,49.41,49.8,45.85,48.22,15141589.0
21,2021-03-25,39.38,49.29,39.13,48.17,26951365.0
22,2021-03-24,54.36,55.71,45.0,45.71,20265119.0
23,2021-03-23,54.91,57.44,50.01,50.12,18373722.0
24,2021-03-22,59.95,60.69,55.17,56.01,17993728.0
25,2021-03-19,61.03,63.7,59.5,60.65,18072841.0
26,2021-03-18,63.0,67.85,59.15,60.19,28855875.0
27,2021-03-17,54.8,65.159,53.4,64.74,26146185.0
28,2021-03-16,62.0,62.17,55.7,56.98,18223096.0
29,2021-03-15,62.78,67.66,62.7107,63.43,22488730.0
30,2021-03-12,58.1,65.75,57.7,62.81,26820458.0
31,2021-03-11,57.96,63.6946,56.72,63.31,29031948.0
32,2021-03-10,57.5,59.33,52.8,56.5,35830635.0
33,2021-03-09,43.95,54.0,43.72,52.16,36308273.0
34,2021-03-08,42.2,43.65,37.62,38.98,17403015.0
35,2021-03-05,44.99,45.25,34.25,40.3,27668287.0
36,2021-03-04,47.4,49.0,41.33,44.29,20168780.0
37,2021-03-03,55.14,55.2803,48.6,49.57,21775369.0
38,2021-03-02,57.0,57.02,48.5,49.1,23546275.0
39,2021-03-01,49.04,53.81,46.58,53.6,26614507.0
40,2021-02-26,41.99,47.75,40.55,43.74,23611046.0
41,2021-02-25,54.33,55.89,45.22,45.67,22908209.0
42,2021-02-24,53.41,56.46,50.86,52.27,33336870.0
43,2021-02-23,53.7,56.89,45.02,48.8,52317027.0
44,2021-02-22,61.0,69.45,59.7,64.76,51957822.0
45,2021-02-19,68.8,77.82,67.42,71.33,75047074.0
46,2021-02-18,72.76,78.75,58.77,62.03,86796144.0
47,2021-02-17,67.84,79.5,61.7003,77.9,69712986.0
48,2021-02-16,55.045,61.2685,54.35,59.5,43863927.0
49,2021-02-12,46.14,52.73,43.66,49.28,48423862.0
50,2021-02-11,42.3549,46.64,40.8301,43.09,39870511.0
51,2021-02-10,37.04,39.74,32.25,36.56,27561262.0
52,2021-02-09,35.56,41.88,33.23,39.86,52379822.0
53,2021-02-08,27.3,32.9,25.9,32.79,52243976.0
54,2021-02-05,23.58,24.3875,22.93,23.38,12295599.0
55,2021-02-04,23.47,23.5,21.42,23.08,12936738.0
56,2021-02-03,22.14,23.64,21.72,22.85,18199935.0
57,2021-02-02,20.56,22.18,19.62,21.49,15097540.0
58,2021-02-01,20.17,20.48,18.69,19.98,13088886.0
59,2021-01-29,24.5,24.7351,19.66,20.52,26696141.0
60,2021-01-28,18.39,22.41,17.75,19.93,26695000.0
61,2021-01-27,17.79,18.93,16.75,17.93,13308793.0
62,2021-01-26,18.98,20.3,18.37,19.32,14084378.0
63,2021-01-25,22.01,22.25,19.16,19.67,19271997.0
64,2021-01-22,20.3,22.5,20.28,20.97,30545084.0
65,2021-01-21,19.37,20.47,17.9,19.35,38293038.0
66,2021-01-20,24.28,24.28,20.7,22.28,26544457.0
67,2021-01-19,26.7,27.1954,24.75,25.2,20272303.0
68,2021-01-15,27.0,27.15,24.51,25.78,28732179.0
69,2021-01-14,25.9,29.28,25.56,28.9,37560983.0
70,2021-01-13,23.65,25.0794,22.52,23.88,24905723.0
71,2021-01-12,23.28,24.91,22.0822,24.21,28179381.0
72,2021-01-11,21.0,24.0,20.26,22.64,55243826.0
73,2021-01-08,24.77,27.39,23.59,26.59,57499659.0
74,2021-01-07,20.84,24.7,19.8701,22.72,59358046.0
75,2021-01-06,18.89,20.68,18.12,19.28,40860397.0
76,2021-01-05,15.75,18.65,15.35,18.41,28099781.0
77,2021-01-04,18.8,19.23,15.85,16.48,32293631.0
78,2020-12-31,17.48,18.6689,16.42,16.99,39818149.0
79,2020-12-30,16.99,18.16,16.43,17.26,42958133.0
80,2020-12-29,15.5,16.45,14.19,15.79,23106636.0
81,2020-12-28,15.45,17.43,14.71,15.65,43977361.0
82,2020-12-24,14.07,14.96,12.8,13.12,15979962.0
83,2020-12-23,14.96,15.01,13.31,13.91,32496227.0
84,2020-12-22,11.92,15.7,11.63,14.645,70429672.0
85,2020-12-21,9.89,11.32,9.75,11.04,24335608.0
86,2020-12-18,9.95,10.59,9.65,10.05,27783373.0
87,2020-12-17,11.645,11.85,10.28,10.395,47489452.0
88,2020-12-16,11.25,11.66,10.53,10.76,51278725.0
89,2020-12-15,9.25,10.2999,9.1,10.18,24809366.0
90,2020-12-14,9.26,9.89,8.9,9.14,17807828.0
91,2020-12-11,9.0,9.27,8.44,8.66,10823796.0
92,2020-12-10,8.47,9.59,8.46,9.34,12211540.0
93,2020-12-09,9.82,10.0901,8.36,8.85,16849796.0
94,2020-12-08,10.7,10.92,9.3828,9.87,17488534.0
95,2020-12-07,9.54,11.29,9.5,10.63,27428874.0
96,2020-12-04,9.4035,10.59,9.11,10.0,32322242.0
97,2020-12-03,8.81,10.14,8.5,9.66,29297458.0
98,2020-12-02,8.42,8.54,7.8,8.51,14162436.0
99,2020-12-01,8.17,9.09,7.81,8.81,28672822.0
100,2020-11-30,7.09,8.48,6.9,8.45,46491826.0
101,2020-11-27,6.15,6.61,6.01,6.25,13230052.0
102,2020-11-25,7.09,7.58,6.84,7.08,17377814.0
103,2020-11-24,7.59,7.6,6.46,6.81,28176061.0
104,2020-11-23,6.32,7.38,6.19,7.23,39777788.0
105,2020-11-20,6.17,6.56,5.83,5.995,34199632.0
106,2020-11-19,5.46,6.0,5.41,6.0,22024619.0
107,2020-11-18,6.39,6.44,5.05,5.25,48455913.0
108,2020-11-17,4.2362,6.29,4.07,6.085,82187030.0
109,2020-11-16,4.02,4.1696,3.81,4.1,11278290.0
110,2020-11-13,3.77,4.12,3.595,3.98,11358498.0
